city,area,lat,lon
Almirante Brown,AMBA,-34.8272,-58.3712
Avellaneda,AMBA,-34.6659,-58.3621
Berazategui,AMBA,-34.7618,-58.2127
Berisso,AMBA,-34.8731,-57.8834
Brandsen,AMBA,-35.2366,-58.2351
Campana,AMBA,-34.1632,-58.9572
Cañuelas,AMBA,-35.0532,-58.7606
Ensenada,AMBA,-34.8617,-57.9248
Escobar,AMBA,-34.3489,-58.7849
Esteban Echeverría,AMBA,-34.8226,-58.4606
Exaltación,AMBA,-34.3691,-59.1365
Ezeiza,AMBA,-34.8442,-58.5224
Florencio Varela,AMBA,-34.8286,-58.2501
Gral. Las Heras,AMBA,-34.9177,-58.9436
Gral. Rodríguez,AMBA,-34.6112,-58.8902
Gral. San Martín,AMBA,-34.5703,-58.5185
Hurlingham,AMBA,-34.5948,-58.6423
Ituzaingó,AMBA,-34.6617,-58.6743
José C. Paz,AMBA,-34.5186,-58.7726
La Matanza,AMBA,-34.7612,-58.5785
La Plata,AMBA,-34.9205,-57.9536
Lanús,AMBA,-34.7061,-58.3984
Lomas de Zamora,AMBA,-34.7604,-58.4037
Luján,AMBA,-34.5703,-59.1055
Malvinas Argentinas,AMBA,-34.4667,-58.7083
Marcos Paz,AMBA,-34.7904,-58.8378
Merlo,AMBA,-34.6662,-58.7295
Moreno,AMBA,-34.6341,-58.7918
Morón,AMBA,-34.65145,-58.61956
Quilmes,AMBA,-34.7203,-58.2526
Pilar,AMBA,-34.4585,-58.9146
Presidente Perón,AMBA,-34.9062,-58.6971
San Fernando,AMBA,-34.4448,-58.5658
San Isidro,AMBA,-34.4704,-58.5277
San Miguel,AMBA,-34.5415,-58.7107
San Vicente,AMBA,-35.0122,-58.4202
Tigre,AMBA,-34.426,-58.5796
Tres de Febrero,AMBA,-34.5962,-58.576
Vicente López,AMBA,-34.5375,-58.5158
Zárate,AMBA,-34.0946,-59.0293
Agronomía,CABA,-34.5965,-58.4947
Almagro,CABA,-34.6083,-58.4202
Balvanera,CABA,-34.6106,-58.4025
Barracas,CABA,-34.6491,-58.3865
Belgrano,CABA,-34.5621,-58.4565
Boedo,CABA,-34.628,-58.4173
Caballito,CABA,-34.6181,-58.4425
Chacarita,CABA,-34.5886,-58.4525
Coghlan,CABA,-34.5689,-58.4839
Colegiales,CABA,-34.5745,-58.4504
Constitución,CABA,-34.6229,-58.3988
Flores,CABA,-34.6282,-58.4613
Floresta,CABA,-34.6288,-58.481
La Boca,CABA,-34.6345,-58.363
La Paternal,CABA,-34.5972,-58.4585
Liniers,CABA,-34.6431,-58.5211
Mataderos,CABA,-34.6577,-58.5024
Monte Castro,CABA,-34.6193,-58.5
Montserrat,CABA,-34.611,-58.3834
Nueva Pompeya,CABA,-34.6518,-58.4111
Nuñez,CABA,-34.5494,-58.4645
Palermo,CABA,-34.5886,-58.4304
Parque Avellaneda,CABA,-34.6447,-58.4815
Parque Chacabuco,CABA,-34.6343,-58.4348
Parque Chas,CABA,-34.5854,-58.4819
Parque Patricios,CABA,-34.6375,-58.4026
Puerto Madero,CABA,-34.6102,-58.3621
Recoleta,CABA,-34.588,-58.3956
Retiro,CABA,-34.5911,-58.3741
Saavedra,CABA,-34.5548,-58.4882
San Cristóbal,CABA,-34.6247,-58.4068
San Nicolás,CABA,-34.6037,-58.3854
San Telmo,CABA,-34.6205,-58.374
Versalles,CABA,-34.6287,-58.5234
Villa Crespo,CABA,-34.5984,-58.4424
Villa Devoto,CABA,-34.6012,-58.5205
Villa General Mitre,CABA,-34.6121,-58.4815
Villa Lugano,CABA,-34.6831,-58.4726
Villa Luro,CABA,-34.6387,-58.4985
Villa Ortúzar,CABA,-34.5822,-58.4692
Villa Pueyrredón,CABA,-34.5863,-58.4943
Villa Real,CABA,-34.6242,-58.5274
Villa Riachuelo,CABA,-34.6996,-58.4746
Villa Santa Rita,CABA,-34.6177,-58.4778
Villa Soldati,CABA,-34.6667,-58.4442
Villa Urquiza,CABA,-34.5714,-58.4843
Villa del Parque,CABA,-34.6036,-58.4948
Vélez Sarsfield,CABA,-34.6286,-58.5043
